Year,ProSport,WinningTeam,City,State
1958,NBA,St. Louis Hawks,St. Louis,MO
1958,NHL,Montreal Canadiens,Montreal,QC
1958,MLB,New York Yankees,New York City,NY
1958,NFL,Baltimore Colts,Baltimore,MD
1959,NBA,Boston Celtics,Greater Boston,MA
1959,NHL,Montreal Canadiens,Montreal,QC
1959,MLB,Los Angeles Dodgers,Greater Los Angeles,CA
1959,NFL,Baltimore Colts,Baltimore,MD
1960,NBA,Boston Celtics,Greater Boston,MA
1960,NHL,Montreal Canadiens,Montreal,QC
1960,MLB,Pittsburgh Pirates,Pittsburgh,PA
1960,NFL,Philadelphia Eagles,Greater Philadelphia,PA
1961,NBA,Boston Celtics,Greater Boston,MA
1961,NHL,Chicago Black Hawks,Chicago,IL
1961,MLB,New York Yankees,New York City,NY
1961,NFL,Green Bay Packers,Green Bay,WI
1962,NBA,Boston Celtics,Greater Boston,MA
1962,NHL,Toronto Maple Leafs,Toronto,ON
1962,MLB,New York Yankees,New York City,NY
1962,NFL,Green Bay Packers,Green Bay,WI
1963,NHL,Toronto Maple Leafs,Toronto,ON
1963,NBA,Boston Celtics,Greater Boston,MA
1963,MLB,Los Angeles Dodgers,Greater Los Angeles,CA
1963,NFL,Chicago Bears,Chicago,IL
1964,NHL,Toronto Maple Leafs,Toronto,ON
1964,NBA,Boston Celtics,Greater Boston,MA
1964,MLB,St. Louis Cardinals,St. Louis,MO
1964,NFL,Cleveland Browns,Cleveland,OH
1965,NBA,Boston Celtics,Greater Boston,MA
1965,NHL,Montreal Canadiens,Montreal,QC
1965,MLB,Los Angeles Dodgers,Greater Los Angeles,CA
1965,NFL,Green Bay Packers,Green Bay,WI
1966,NBA,Boston Celtics,Greater Boston,MA
1966,NHL,Montreal Canadiens,Montreal,QC
1966,MLB,Baltimore Orioles,Baltimore,MD
1966,NFL,Green Bay Packers,Green Bay,WI
1967,NFL,Green Bay Packers,Green Bay,WI
1967,NBA,Philadelphia 76ers,Greater Philadelphia,PA
1967,NHL,Toronto Maple Leafs,Toronto,ON
1967,MLB,St. Louis Cardinals,St. Louis,MO
1968,NFL,Green Bay Packers,Green Bay,WI
1968,NBA,Boston Celtics,Greater Boston,MA
1968,NHL,Montreal Canadiens,Montreal,QC
1968,MLB,Detroit Tigers,Metro Detroit,MI
1969,NFL,New York Jets,New York City,NY
1969,NBA,Boston Celtics,Greater Boston,MA
1969,NHL,Montreal Canadiens,Montreal,QC
1969,MLB,New York Mets,New York City,NY
1970,NFL,Kansas City Chiefs,Kansas City,MO
1970,NBA,New York Knicks,New York City,NY
1970,NHL,Boston Bruins,Greater Boston,MA
1970,MLB,Baltimore Orioles,Baltimore,MD
1971,NFL,Baltimore Colts,Baltimore,MD
1971,NBA,Milwaukee Bucks,Milwaukee,WI
1971,NHL,Montreal Canadiens,Montreal,QC
1971,MLB,Pittsburgh Pirates,Pittsburgh,PA
1972,NFL,Dallas Cowboys,Dallas-Fort Worth,TX
1972,NBA,Los Angeles Lakers,Greater Los Angeles,CA
1972,NHL,Boston Bruins,Greater Boston,MA
1972,MLB,Oakland Athletics,San Francisco Bay Area,CA
1973,NFL,Miami Dolphins,Greater Miami Area,FL
1973,NBA,New York Knicks,New York City,NY
1973,NHL,Montreal Canadiens,Montreal,QC
1973,MLB,Oakland Athletics,San Francisco Bay Area,CA
1974,NFL,Miami Dolphins,Greater Miami Area,FL
1974,NBA,Boston Celtics,Greater Boston,MA
1974,NHL,Philadelphia Flyers,Greater Philadelphia,PA
1974,MLB,Oakland Athletics,San Francisco Bay Area,CA
1975,NFL,Pittsburgh Steelers,Pittsburgh,PA
1975,NBA,Golden State Warriors,San Francisco Bay Area,CA
1975,NHL,Philadelphia Flyers,Greater Philadelphia,PA
1975,MLB,Cincinnati Reds,Cincinnati,OH
1976,NFL,Pittsburgh Steelers,Pittsburgh,PA
1976,NBA,Boston Celtics,Greater Boston,MA
1976,NHL,Montreal Canadiens,Montreal,QC
