,Year,Pro Sport,Winning Team,City,State
326,1958,NBA,St. Louis Hawks,St. Louis, MO
327,1958,NHL,Montreal Canadiens,Montreal, QC
329,1958,MLB,New York Yankees,New York City, NY
331,1958,NFL,Baltimore Colts,Baltimore, MD
335,1959,NBA,Boston Celtics,Greater Boston, MA
336,1959,NHL,Montreal Canadiens,Montreal, QC
338,1959,MLB,Los Angeles Dodgers,Greater Los Angeles, CA
340,1959,NFL,Baltimore Colts,Baltimore, MD
343,1960,NBA,Boston Celtics,Greater Boston, MA
344,1960,NHL,Montreal Canadiens,Montreal, QC
346,1960,MLB,Pittsburgh Pirates,Pittsburgh, PA
348,1960,NFL,Philadelphia Eagles,Greater Philadelphia, PA
352,1961,NBA,Boston Celtics,Greater Boston, MA
353,1961,NHL,Chicago Black Hawks,Chicago, IL
355,1961,MLB,New York Yankees,New York City, NY
356,1961,NFL,Green Bay Packers,Green Bay, WI
361,1962,NBA,Boston Celtics,Greater Boston, MA
362,1962,NHL,Toronto Maple Leafs,Toronto, ON
364,1962,MLB,New York Yankees,New York City, NY
365,1962,NFL,Green Bay Packers,Green Bay, WI
369,1963,NHL,Toronto Maple Leafs,Toronto, ON
370,1963,NBA,Boston Celtics,Greater Boston, MA
372,1963,MLB,Los Angeles Dodgers,Greater Los Angeles, CA
374,1963,NFL,Chicago Bears,Chicago, IL
377,1964,NHL,Toronto Maple Leafs,Toronto, ON
378,1964,NBA,Boston Celtics,Greater Boston, MA
380,1964,MLB,St. Louis Cardinals,St. Louis, MO
382,1964,NFL,Cleveland Browns,Cleveland, OH
387,1965,NBA,Boston Celtics,Greater Boston, MA
388,1965,NHL,Montreal Canadiens,Montreal, QC
390,1965,MLB,Los Angeles Dodgers,Greater Los Angeles, CA
392,1965,NFL,Green Bay Packers,Green Bay, WI
396,1966,NBA,Boston Celtics,Greater Boston, MA
397,1966,NHL,Montreal Canadiens,Montreal, QC
399,1966,MLB,Baltimore Orioles,Baltimore, MD
401,1966,NFL,Green Bay Packers,Green Bay, WI
404,1967,NFL,Green Bay Packers,Green Bay, WI
406,1967,NBA,Philadelphia 76ers,Greater Philadelphia, PA
407,1967,NHL,Toronto Maple Leafs,Toronto, ON
409,1967,MLB,St. Louis Cardinals,St. Louis, MO
412,1968,NFL,Green Bay Packers,Green Bay, WI
414,1968,NBA,Boston Celtics,Greater Boston, MA
415,1968,NHL,Montreal Canadiens,Montreal, QC
417,1968,MLB,Detroit Tigers,Metro Detroit, MI
420,1969,NFL,New York Jets,New York City, NY
422,1969,NBA,Boston Celtics,Greater Boston, MA
423,1969,NHL,Montreal Canadiens,Montreal, QC
425,1969,MLB,New York Mets,New York City, NY
428,1970,NFL,Kansas City Chiefs,Kansas City, MO
430,1970,NBA,New York Knicks,New York City, NY
